abaca	абака
oil-car	цистерна
oil-coat	дождевик
oil-colour	обыкн. масляная краска
oil-derrick	нефтяная вышка
oil-filler	маслоналивной патрубок
oil-fired	работающий на нефти
oil-fuel	жидкое топливо
oil-gland	сальная железа
oil-hole	смазочное отверстие
oil-painting	картина
oil-paper	промасленная бумага
oil-press	маслобойный пресс
oil-producing	нефтедобывающий
oil-stained	пропитанный нефтью
oil-stone	оселок для правки с маслом
oil-tanker	танкер
oil-well	нефтяная скважина
oilcake	жмых
oilcan	ручная масленка
oilcloth	клеенка
oiled	пропитанный маслом
oilfield	месторождение нефти
oilman	москательщик
oilplant	масличное растение
oilskin	тонкая клеенка
oily	масляный
ointment	мазь
Oka	р. Ока
Okie	странствующий сельскохозяйственный рабочий (преим. из штата Оклахома)
Okinawa	о-в Окинава
Oklahoma	Оклахома
old	older
old-age	старческий
old-clothesman	старьевщик
old-clothesshop	лавка подержанных вещей
old-established	давно установленный
old-fashioned	устарелый
old-gold	цвета старого золота
old-hat	устарелый
old-maidish	стародевический
old-style	старомодный
old-time	старинный
old-timer	старожил
old-world	старинный
olden	старый
oldie	старая песня или кинофильм
oldish	староватый
oldster	пожилой человек
oleaginous	маслянистый
oleander	олеандр
oleaster	дикая маслина
oleograph	олеография
oleomargarine	олеомаргарин
olericulture	овощеводство
oleum	олеум
olfactory	обонятельный
olid	зловонный
oligarch	олигарх
oligarchy	олигархия
olio	смесь
olivaceous	оливковый
olivary	имеющий форму маслины
Olive	Олив
olive-branch	оливковая
olive-tree	олива
olive-wood	древесина оливкового дерева
Oliver	Оливер
Olivia	Оливия
olympiad	олимпиада
Olympian	олимпийский
Olympic	олимпийский
Olympus	Олимп
Oman	Оман
ombre	ломбер
ombrometer	дождемер
ombudsman	чиновник
omega	омега (последняя буква греческого алфавита)
omen	предзнаменование
ominous	зловещий
omissible	такой
omission	пропуск
omit	пренебрегать
omnibus	омнибус
omnidirectional	действующий по всем направлениям
omnifarious	всевозможный
omniparity	всеобщее равенство
omnipotence	всемогущество
omnipotent	всемогущий
omnipresence	вездесущность
omnipresent	вездесущий
omnirange	всенаправленный радиомаяк
omniscience	всеведение
omniscient	всеведущий
omnivorous	всеядный
omphalocele	пупочная грыжа
omphalos	пуп
omul	омуль
on	в пространственном значении указывает на	 нахождение на поверхности какого-л. предмета
on-licence	патент на продажу спиртных напитков распивочно (не на вынос)
on-position	положение включения
on-screen	кинематографический
on-the-spot	на месте
onager	онагр
once	(один) раз
onceover	беглый (предварительный) осмотр
oncer	прихожанин
oncological	онкологический
oncology	онкология
oncoming	приближение
ondatra	ондатра
one	один
one-aloner	совершенно одинокий человек
one-armed	однорукий
one-decker	однопалубное судно
one-figure	однозначное число
one-handed	однорукий
one-horse	имеющий одну лошадь
one-idea'd	одержимый одной идеей
one-ideaed	одержимый одной идеей
one-legged	одноногий
one-liner	острота
one-man	одиночный
one-of-a-kind	необычный
one-off	одноразовый
one-piece	состоящий из одного куска
one-sided	однобокий
one-time	бывший
one-to-one	индивидуальный
one-track	одноколейный
one-upmanship	умение перещеголять других
one-way	односторонний (о связи , движении и т. п.)
onefold	простой
Onega	Онежское озеро
oneness	единство
oner	редкий человек/предмет
onerous	обременительный
oneself	себя
onfall	нападение
onflow	течение
onion	лук
onion-skin	луковичная шелуха
oniony	луковый
onlay	накладка
onlooker	зритель
only	единственный
onomatopoeia	звукоподражание
onrush	атака
onset	натиск
onshore	направляющийся к берегу
onslaught	бешеная атака
onstage	театральный
Ontario	Онтарио
onto	на
ontogenesis	онтогенез
ontogeny	онтогенез
ontology	онтология
onus	only бремя
onward	продвигающийся
onyx	оникс
oodles	огромное количество
oof	деньги
ooh	ох!
oolite	оолит
oolitic	оолитовый
oology	коллекционирование/изучение птичьих яиц
oolong	сорт черного китайского чая
oomph	живой
oops	хоп!
ooze	липкая грязь
oozy	илистый
op	операция (медицинская или военная)
op.	operation операция opus произведение
opacity	непрозрачность
opal	опал
opalescent	опаловый
opaque	непрозрачный
opart	'опарт' (разновидность абстрактного искусства , основанная на оптическом эффекте)
open	открытый
open-air	происходящий на открытом воздухе
open-and-shut	элементарный
open-armed	с распростертыми объятиями
open-door	открытый
open-eared	внимательно слушающий
open-ended	не ограниченный временем
open-eyed	с широко раскрытыми (от удивления) глазами
open-faced	имеющий открытое лицо
open-handed	щедрый generous
open-hearted	с открытой душой
open-minded	с широким кругозором
open-mouthed	разинув(ший) рот от удивления
open-necked	с открытым широким воротом
open-plan	имеющий открытую планировку (с большими комнатами , в которых окна выходят на противоположные стороны)
open-work	ажурная ткань
opencast	добытый открытым способом
opener	консервный нож
opening	отверстие
openly	открыто
openness	откровенность
opera	опера
opera-cloak	манто (для выездов)
opera-glass	театральный бинокль
opera-glasses	театральный бинокль
opera-hat	шапокляк
opera-house	оперный театр
operable	действующий
operand	объект (действия) , операнд
operate	работать
operated	управляемый
operatic	оперный
operating	операционный
operating-room	операционная
operating-theatre	операционная (для показательных операций)
operation	действие
operational	операционный
operative	действующий
operatize	написать оперу по какому-л. произведению
operator	оператор
operetta	оперетта
Ophelia	Офелия
ophidian	относящийся к отряду змей
ophiolatry	змеепоклонство
ophite	офит
ophthalmia	офтальмия
ophthalmic	глазной
ophthalmologist	офтальмолог
ophthalmology	офтальмология
opiate	опиат
opine	высказывать мнение
opinion	мнение
opinionated	чрезмерно самоуверенный
opium	опиум
opium-eater	курильщик опиума
opodeldoc	оподельдок
opossum	опоссум
oppidan	горожанин
opponent	оппонент
opportune	своевременный
opportunism	оппортунизм
opportunist	оппортунист
opportunistic	оппортунистический
opportunity	удобный случай
oppose	противопоставлять (with , against)
opposed	противоположный
opposite	расположенный
opposition	сопротивление
oppositionist	оппозиционер
oppress	притеснять
oppression	притеснение
oppressive	гнетущий
oppressiveness	гнетущая атмосфера
oppressor	угнетатель
opprobrious	оскорбительный
opprobrium	позор
oppugn	возражать (против чего-л.) , оспаривать
opt	выбирать
opt.	optician оптик optional необязательный
optative	оптатив
optic	глазной
optical	зрительный
optician	оптик
optics	оптика
optimism	оптимизм
optimist	оптимист
optimize	оптимизировать
optimum	наиболее благоприятные условия
option	выбор
optional	необязательный
optophone	оптофон (прибор для чтения печатного текста слепыми)
opulence	изобилие
opulent	богатый
opus	only музыкальное произведение
opuscule	небольшое литературное/музыкальное произведение
OR	owner's risk на риск владельца Oregon Орегон
or	или
orach	лебеда
oracle	оракул
oracular	пророческий
oral	устный
orally	устно
orang-outang	орангутанг
orang-utan	орангутанг
orange	Orange Оранская династия
orange-blossom	померанцевый цвет
orange-fin	молодая форель
orange-peel	апельсинная корка
orange-tip	бабочка-белянка
orangeade	оранжад (напиток)
Orangeman	оранжист (член Ирландской ультрапротестантской партии)
orangery	апельсиновый сад или апельсиновая плантация
orangey	светло-оранжевый
orate	произносить речь
oration	речь (особ. торжественная)
orator	оратор
oratorical	ораторский
oratorio	оратория
oratory	красноречие
orb	шар
orbed	округлый
orbicular	сферический
orbit	орбита
orbital	орбитальный
orbiting	движение по орбите
Orcadian	оркнейский
orchard	фруктовый сад
orcharding	плодоводство
orchardman	плодовод
orchestic	танцевальный
orchestics	танцевальное искусство
orchestra	оркестр
orchestral	оркестровый
orchestrate	оркестровать
orchestration	оркестровка
orchestrion	оркестрион
orchid	орхидея
orchidaceous	орхидейный
orchil	орсель (фиолетово-красная краска)
orchis	ятрышник
ord.	order заказ
ordain	посвящать в духовный сан
ordeal	суровое испытание
order	порядок
order-book	книга заказов
order-form	бланк заказа
order-paper	повестка дня (в письменном или отпечатанном виде)
orderliness	аккуратность
orderly	дневальный
orderly-room	канцелярия подразделения
ordinal	порядковый
ordinance	указ	
ordinarily	обычно
ordinary	обычный
ordination	посвящение в духовный сан
ordnance	артиллерийские орудия
ordure	навоз
ore	руда
ore-dressing	обогащение руд
oread	ореада (нимфа гор)
Oregon	Орегон
org.	organization организация organized организованный
organ	орган
organ-blower	раздувальщик мехов (у органа)
organ-grinder	шарманщик
organ-loft	галерея в церкви для органа
organdie	тонкая кисея
organdy	тонкая кисея
organic	органический
organism	организм
organist	органист
organization	организация
organizational	организационный
organize	организовывать
organized	организованный
organizer	организатор
organotherapy	органотерапия
organza	плательная прозрачная жесткая ткань 'органза' (шелковая или вискозная)
orgasm	оргазм
orgasmic	оргазменный
orgeat	оршад (напиток)
orgiastic	разнузданный
orgy	оргия
oriel	углубление
orient	(the Orient) Восток , страны Востока
oriental	восточный
orientalism	ориентализм
orientalist	востоковед
orientalize	придавать/приобретать восточный/азиатский характер
orientation	ориентировка
oriented	как компонент сложных слов связанный с чем-л.
orienteering	спортивное ориентирование
orifice	отверстие
origami	оригами (искусство складывания фигурок из бумаги)
origan	душица обыкновенная
origanum	душица обыкновенная
origin	источник
original	подлинник
originality	подлинность
originally	первоначально
originate	давать начало
origination	начало
originative	дающий начало
originator	автор
orinasal	рото-носовой
Orinoco	р. Ориноко
oriole	иволга
Orion	созвездие Ориона
orison	обыкн. молитва
Orkney	Оркни (графство в Шотландии)
Orkneys	Оркнейские острова
orlop	нижняя палуба
ormolu	сплав меди
ornament	украшение
ornamental	служащий украшением
ornamentation	украшение (действие)
ornate	богато украшенный
ornery	злобный
ornithological	орнитологический
ornithologist	орнитолог
ornithology	орнитология
ornithorhyncus	утконос
orogeny	горообразование
orography	орография
oroide	золотистый сплав меди и цинка
orotund	звучный
orphan	сирота
orphanage	сиротство
orphaned	осиротелый
orphanhood	сиротство
Orphean	чарующий
Orpheus	Орфей
Orphic	орфический
Orpington	орпингтон (порода кур)
orrery	планетарий
orris	касатик флорентийский
orthodontist	ортодонт (врач , занимающийся исправлением и предупреждением неправильного расположения зубов)
orthodox	ортодоксальный
orthodoxy	ортодоксальность
orthoepy	орфоэпия
orthogenesis	ортогенез
orthogonal	прямоугольный
orthography	орфография
orthoptic	относящийся к нормальному зрению
ortolan	садовая овсянка (птица)
oryx	антилопа бейза
Osaka	г. Осака
Oscar	Оскар
oscillate	качать(ся)
oscillation	качание
oscillator	осциллятор
oscillatory	колебательный
oscillograph	осциллограф
oscillotron	осциллографическая электронно-лучевая трубка
osculant	соприкасающийся
oscular	ротовой
osculate	целоваться
osculation	лоб(ы)зание
osier	ива
osier-bed	ивняк
Osiris	egypt. Озирис
Oslo	г. Осло
osmium	осмий
Osmond	Осмунд
osmose	осмос
osmosis	осмос
osmotic	осмотический
Osmund	Осмунд
osseous	костистый
ossicle	косточка
ossification	окостенение
ossify	превращать(ся) в кость
ossuary	склеп
osteitis	остит
ostensible	служащий предлогом
ostensory	дарохранительница
ostentation	показное проявление (чего-л.)
ostentatious	показной
osteography	остеография
osteology	остеология
osteopath	остеопат
ostler	конюх (на постоялом дворе)
ostracism	остракизм
ostracize	подвергать остракизму
ostreiculture	разведение устриц
ostrich	страус
ostrich-farm	ферма
ostrich-plume	страусовое перо
Ostrogoth	остгот
Oswald	Освальд
other	другой
other-worldly	не от мира сего
otherness	различие
otherwhence	из другого места
otherwhere	в другом месте
otherwheres	в другом месте
otherwise	иначе
otherwise-minded	инакомыслящий
otic	ушной
otiose	бесполезный
otioseness	бесполезность
otologist	специалист по ушным болезням
otology	отология
otophone	отофон (прибор для тугоухих)
otoscope	отоскоп
Ottawa	г. Оттава
otter	выдра
otter-dog	охотничья собака на выдр
Ottilia	Оттилия
ottoman	Ottoman оттоман
Ouagadougou	г. Уагадугу
oubliette	потайная
ouch	пряжка
our	(употр. атрибутивно
ours	(абсолютная форма , не употр. атрибутивно
ourself	мы (в речи короля , научных статьях и т. п.)
ourselves	себя
oust	выгонять
ouster	выселение
out	вне
out-	придает глаголам значение превосходства
out-and-out	совершенный
out-and-outer	единственный в своем роде
out-argue	переспорить
out-distance	обогнать
out-Herod	превзойти Ирода в жестокости (тж. to out-Herod Herod)
out-jockey	перехитрить
out-of-body	отстраненный
out-of-date	устарелый
out-of-pocket	уплаченный наличными
out-of-print	редкий (о книге)
out-of-the-way	отдаленный
out-of-town	находящийся или проживающий за городом
out-of-work	безработный
out-patient	амбулаторный больной
out-take	купюра (в фильме , видеозаписи и т. п.)
out-talk	заговорить (кого-л.)
out-to-out	наибольший габаритный размер
out-top	быть выше (кого-л. , чего-л.)
out-tray	корзинка для исходящих бумаг
outage	простой
outback	малонаселенный
outbalance	перевешивать
outbid	перебивать цену
outboard	за бортом
outbound	уходящий в дальнее плавание или за границу (о корабле)
outbrave	превосходить храбростью
outbuild	строить прочнее
outburst	взрыв
outcast	изгнанник
outclass	оставить далеко позади
outcollege	живущий не в колледже
outcome	результат
outcrop	обнажение пород
outcry	громкий крик
outdance	протанцевать дольше других
outdare	превосходить дерзостью
outdated	устарелый
outdo	превзойти
outdoor	находящийся/совершающийся вне дома
outdoors	на открытом воздухе
outdrive	обогнать
outer	внешний
outermost	самый дальний от середины
outerwear	верхняя одежда
outface	смутить
outfall	устье
outfield	отдаленное поле
outfight	побеждать (в бою , соревновании и т. п.)
outfit	снаряжение (для экспедиции)
outfitter	поставщик снаряжения
outflank	охватывать с фланга
outflow	истечение
outfox	перехитрить
outgeneral	превзойти в военном искусстве
outgiving	заявление
outgo	уход
outgoing	уходящий
outgrow	перерастать
outgrowth	отросток
outguess	перехитрить
outhouse	надворное строение
outing	загородная прогулка
outlandish	заморский
outlast	продолжаться дольше
outlaw	человек вне закона
outlawry	объявление вне закона
outlay	издержки
outlet	выпускное/выходное отверстие
outlier	человек
outline	часто очертание
outlive	пережить (кого-л. , что-л.)
outlook	вид
outlying	удаленный
outmanoeuvre	получить преимущество более искусным маневрированием
outmarch	маршировать/двигаться быстрее (кого-л.)
outmatch	превосходить
outmoded	вышедший из моды
outness	внешний мир
outnumber	превосходить численно
outpace	опережать
outperform	делать лучше
outplacement	трудоустройство уволенных
outplay	обыграть
outpoint	победить по очкам
outpost	аванпост
outpour	поток
outpouring	обыкн. излияние (чувств)
output	продукция
outrage	грубое нарушение закона или чужих прав
outrageous	неистовый
outrange	иметь большую дальнобойность
outrank	иметь более высокий ранг/чин
outre	преступающий границы
outreach	программа помощи неимущим или нуждающимся
outride	перегнать
outrider	верховой
outrigger	утлегарь
outright	прямой
outrival	превзойти
outrun	перегнать
outrunner	скороход
outsail	перегнать (о судне)
outsell	продаваться лучше/дороже
outset	отправление
outshine	затмить
outside	наружная часть/сторона
outsider	посторонний (человек) не принадлежащий к данному учреждению , кругу , партии
outsit	пересидеть (других гостей)
outsize	больше стандартного размера (особ. о готовом платье)
outskirts	окраина
outsmart	перехитрить
outspeak	говорить лучше
outspoken	высказанный
outspread	распространение
outstanding	выдающийся
outstep	переступать (границы)
outstretched	протянутый
outstrip	обгонять
outvalue	стоить дороже
outvie	превзойти в состязании
outvoice	перекричать
outvote	иметь перевес голосов
outvoter	избиратель
outwalk	идти дальше/быстрее (кого-л.)
outward-bound	уходящий в плавание или за границу (о корабле)
outwardly	внешне
outwardness	объективное существование
outwards	наружу
outwear	изнашивать
outweigh	быть тяжелее
outwit	перехитрить
outwork	работа вне мастерской
outworker	надомник
outworn	изношенный
ouzel	дрозд (особ. черный)
oval	овальный
ovarian	яичниковый
ovariotomy	овариотомия
ovary	яичник
ovation	овация
oven	духовой шкаф
oven-bird	печник (птица)
ovenproof	жаростойкий
over	указывает на взаимное положение предметов	 над
over-	сверх-
over-active	сверхактивный
over-capitalize	определять капитал (компании и т. п.) слишком высоко
over-colour	сгущать краски
over-estimate	слишком высокая оценка
over-expose	передержать (при съемке)
over-exposure	передержка (при съемке)
over-indulgence	чрезмерное увлечение
over-measure	придача
over-persuade	переубеждать
over-produce	перепроизводить
over-production	перепроизводство
over-proof	выше установленного градуса (о спирте и т. п.)
over-refine	вдаваться в излишние тонкости
over-simplify	упрощать
over-the-counter	продаваемый в розницу
overabundance	сверхизобилие
overabundant	избыточный
overact	переигрывать (роль)
overage	переросший избыток
overall	рабочий халат
overanxious	слишком обеспокоенный
overarch	покрывать сводом
overarm	оверарм
overawe	держать в благоговейном страхе
overbalance	перевес
overbear	пересиливать
overbearing	властный
overblow	раздувать
overblown	пронесшийся (о буре и т. п.)
overboard	за борт
overboil	перекипеть
overbold	слишком смелый
overbook	продавать больше билетов
overbrim	переполнять(ся)
overbuild	надстраивать
overburden	перегружать
overbuy	покупать в слишком большом количестве
overcame	от overcome
overcast	сплошная облачность
overcharge	назначать завышенную цену	
overcloud	застилать(ся) облаками
overcoat	пальто
overcoating	материал на пальто
overcome	побороть
overcommitment	чрезмерные обязательства
overcrop	истощать землю
overcrow	торжествовать (над соперником и т. п.)
overcrowd	переполнять (помещение и т. п.)
overcrowded	переполненный
overcrowding	перенаселение
overdevelop	чрезмерно развивать
overdo	заходить слишком далеко
overdone	преувеличенный
overdose	слишком большая
overdraught	верхнее дутье
overdraw	превысить кредит (в банке)
overdressed	одетый слишком нарядно
overdrink	слишком много пить
overdrive	переутомлять
overdue	запоздалый
overdye	перекрасить в другой цвет
overeat	переедать
overemphasis	излишнее
overemphasize	излишне
overemployment	сверхзанятость
overextended	затянутый
overfall	водослив
overfeed	перекармливать
overfill	переполнять
overflight	перелет (над чем-л.)
overflow	переливание через край
overflowing	льющийся через край
overfly	перелетать (что-л.)
overfulfil	перевыполнять
overfulfilment	перевыполнение
overfull	переполненный
overgarment	верхняя одежда
overgild	позолотить
overground	надземный
overgrow	расти слишком быстро
overgrown	переросший
overgrowth	чрезмерно быстрый рост
overhang	выступ
overhaul	тщательный осмотр
overhead	верхний
overhear	подслушивать
overheat	перегрев
overissue	чрезмерная эмиссия
overjoy	осчастливить
overjoyed	вне себя от радости
overjump	перепрыгивать
overkill	применение средств поражения избыточной мощности
overknee	выше колен
overlabour	переутомлять работой
overladen	перегруженный
overland	сухопутный
overlap	частично покрывать
overlay	покрышка
overleaf	на обратной стороне листа/страницы
overleap	перепрыгивать
overlie	лежать на чем-л.
overling	влиятельное/высокопоставленное лицо
overlive	пережить
overload	перегрузка
overlook	возвышаться (над городом , местностью и т. п.)
overlooker	надзиратель
overlord	сюзерен
overly	чрезмерно
overman	десятник
overmantel	резное украшение над камином
overmasted	имеющий слишком высокие или слишком тяжелые мачты
overmaster	покорить
overmastering	непреодолимый
overmatch	превосходить силой
overmature	перезрелый
overmuch	чрезмерно
overnight	происходивший накануне вечером
overpass	эстакада
overpast	прошедший
overpay	переплачивать
overpeopled	перенаселенный
overplay	переигрывать
overplus	излишек
overpoise	перевес
overpopulation	перенаселенность
overpower	пересиливать
overpowering	непреодолимый
overpraise	перехваливать
overpressure	чрезмерное давление
overpriced	завышенный (о цене)
overprint	печатать поверх рисунка (на марке) или текста
overprize	переоценивать
overreach	обман
overreact	слишком остро реагировать (на что-л.)
overrent	брать слишком высокую арендную/квартирную плату
override	переехать
overriding	основной
overripe	перезрелый
overrotten	перегнивший
overrule	господствовать
overrun	переливаться через край
oversee	надзирать
overseer	надзиратель
oversell	продавать сверх своих запасов (товары и т. п.)
overset	нарушать порядок
oversew	сшивать через край
oversexed	уделяющий слишком много внимания сексу
overshadow	затемнять
overshoe	галоша
overshoot	промахнуться (при стрельбе)
overside	грузящийся через борт
oversight	недосмотр
overslaugh	освобождать от должности в связи с повышением
oversleep	проспать
oversleeve	нарукавник
oversmoke	слишком много курить
overspend	тратить слишком много
overspill	то
overspread	покрывать
overstaffed	имеющий слишком много служащих (о предприятии)
overstate	преувеличивать
overstatement	преувеличение
overstay	загоститься
overstep	переступить
overstock	излишний запас
overstrain	чрезмерное напряжение
overstretch	слишком натягивать
overstrung	слишком напряженный (о нервах и т. п.)
oversubscribe	превысить намеченную сумму (при подписке и т. п.)
overt	открытый
overtake	догнать
overtask	перегружать работой
overtax	обременять чрезмерными налогами
overthrew	от overthrow
overthrow	поражение
overtime	сверхурочные часы
overtired	слишком усталый
overtly	открыто
overtone	обертон
overtook	от overtake
overtop	быть выше
overtrain	перетренировать(ся)
overtrump	перекрывать старшим козырем
overture	обыкн. попытка (примирения , завязывания знакомства)
overturn	поражение
overuse	чрезмерное использование
overvalue	переоценка
overview	общее представление (о каком-л. предмете)
overwatched	изнуренный чрезмерным бодрствованием/бессонницей
overweening	высокомерный
overweight	излишек веса
overwhelm	заваливать
overwhelming	несметный
overwhelmingly	очень
overwind	перекрутить завод (часов и т. п.)
overwinter	перезимовать
overwork	чрезмерная/сверхурочная работа
overwrite	слишком много писать (о чем-л.)
overwrought	переутомленный работой
oviduct	яйцевод
oviform	яйцевидный
ovine	овечий
oviparous	яйценосный
oviposit	откладывать яйца
ovipositor	яйцеклад
ovoid	яйцевидный
ovule	семяпочка
ovum	яйцо
owe	быть должным (кому-л.)
Owen	Оуэн
owing	должный
owl	сова
owl-light	сумерки
owlet	молодая сова
owlish	похожий на сову
own	свой собственный
owner	владелец
ownerless	бесхозяйный
ownership	собственность
ox	бык
ox-driver	погонщик волов
ox-eye	бычий/воловий глаз
ox-eyed	волоокий
ox-fence	изгородь для рогатого скота
oxalic	щавелевый
oxbow	ярмо
Oxbridge	университеты Оксфорда и Кембриджа
oxcart	повозка
oxen	рогатый скот
Oxford	г. Оксфорд
oxford	полуботинок (тж. Oxford shoe)
Oxfordshire	Оксфордшир (графство в Англии)
oxherd	пастух
oxhide	воловья шкура
oxidation	окисление
oxide	окись
oxidize	окислять(ся)
Oxonian	студент (тж. бывший) Оксфордского университета
oxtail	воловий хвост
oxter	подмышка
oxygen	кислород
oxygenate	окислять
oxygenous	кислородный
oxygon	остроугольный треугольник
oxymoron	оксюморон
oyster	устрица
oyster-bank	устричная отмель
oyster-farm	устричный садок
ozocerite	озокерит
ozokerite	озокерит
ozone	озон
ozonize	озонировать
pace	шаг
pace-maker	задающий темп
pachyderm	толстокожее (животное)
pachydermatous	толстокожий
pacific	спокойный
pacification	умиротворение
pacificator	миротворец
pacificatory	примирительный
pacifier	соска-пустышка
pacifism	пацифизм
pacifist	пацифист
pacify	умиротворять
pack-animal	вьючное животное
pack-horse	вьючная лошадь
pack-running	стадность
pack-saddle	вьючное седло
pack-train	вьючный обоз
package	тюк
packaged	завернутый
packager	составитель программы
packaging	упаковка
packed	упакованный
packer	упаковщик (особ. на пищевом комбинате)
packet-boat	почтово-пассажирское судно
packing	упаковка
packing-case	ящик (для упаковки)
packing-needle	упаковочная
packing-sheet	упаковочный холст
packman	разносчик
packthread	бечевка
pact	пакт
pad	мягкая прокладка или набивка
padded	подбитый
padding	набивка
paddle	байдарочное весло
paddle-boat	колесный пароход
paddle-box	кожух гребного колеса
paddle-shaft	вал гребного колеса
paddle-wheel	гребное колесо
paddock	выгул
Paddy	of Patrick
paddy	Paddy Пэдди (шутливое прозвище ирландца) рис-падди , рис-сырец , необрушенный рис приступ гнева , ярость
paddy-field	орошаемое или затопляемое рисовое поле
Padishah	падишах
padlock	висячий замок
padre	католический священник
padrone	капитан (средиземноморского торгового судна)
padronism	эксплуатация уличных музыкантов и пр. {см. padrone 3}
paean	пеан
paederasty	педерастия
paediatrician	педиатр
paediatrics	педиатрия
paedology	педология
paedophile	человек
paedophilia	половое извращение
paella	паелла (испанское блюдо)
paeon	пеон
pagan	язычник
pagandom	языческий мир
paganish	языческий
paganism	язычество
paganize	обращать в язычество
page	страница
pageant	пышное зрелище
pageantry	пышное зрелище
pagehood	положение пажа
pager	пейджер (небольшое электронное устройство , позволяющее принимать сигналы от телефона)
pageship	должность пажа
paginal	(по)страничный
paginate	нумеровать страницы
pagination	нумерация страниц
pagoda	пагода
pagoda-tree	индийская смоковница
pagurian	рак-отшельник
pah	тьфу!
paid	оплачиваемый
paid-in	уплаченный
paid-up	оплаченный
pail	ведро
pailful	полное ведро
paillette	фольга
pain	боль
pained	огорченный
painful	причиняющий боль
painless	безболезненный
painstaking	старание
paint	краска
painted	нарисованный
painter	живописец
painterly	живописный
painting	живопись
paintwork	окраска (дома , комнаты , автомобиля и т.п.)
painty	свежевыкрашенный
pair	пара
pair-horse	парный
pair-oar	двойка распашная
pair-royal	три одинаковых карты
pairing	пара (особ. спортсменов , артистов , музыкантов , работающих вместе)
paisley	пейсли (особая расцветка ткани и т.д.)
Pakistan	Пакистан
Pakistani	пакистанец
pal	товарищ
palace	дворец
paladin	паладин
palaeogene	палеоген
palaeographer	палеограф
palaeography	палеография
palaeolithic	палеолитический
palaeontologist	палеонтолог
palaeontology	палеонтология
palaeozoic	палеозойский
palaestra	палестра
palankeen	паланкин
palanquin	паланкин
palatable	вкусный
palatal	небный
palatalization	смягчение
palatalize	смягчать
palate	небо
palatial	дворцовый
palatinate	палатинат
palatine	(Palatine) пфальцграф (тж. Count или Earl Palatine)	
palaver	совещание
Palawan	о-в Палаван
pale	кол
pale-complexioned	бледнолицый
pale-faced	бледнолицый
paleaceous	мякинный
paled	огороженный (частоколом , оградой , штакетником)
paleface	бледнолицый
Palermo	г. Палермо
Palestine	Палестина
Palestinian	палестинский
paletot	свободное
palette	палитра
palette-knife	мастихин
palfrey	верховая лошадь (преим. дамская)
Pali	пали (индийский диалект
palimpsest	палимпсест
palindrome	палиндром
paling	палисад
palingenesis	палингенез(ис)
palinode	палинодия
palisade	частокол
palisander	палисандр
palish	бледноватый
pall	покров (на гробе)
pall-mall	пел-мел (старинная игра в шары)
palladium	залог безопасности
pallbearer	лицо
palliasse	соломенный тюфяк
palliate	временно облегчать (боль , болезнь)
palliation	временное облегчение (боли , болезни)
palliative	паллиативный
pallid	(мертвенно-)бледный
pallidness	ужасающая бледность
pallium	плащ
pallor	бледность
pally	дружеский
palm	ладонь
palm-civet	пальмовая куница
palm-oil	пальмовое масло
palmaceous	пальмовый
palmar	ладонный
palmary	заслуживающий пальму первенства
palmate	лапчатый
palmcorder	ручная видеокамера
palmer	паломник
palmetto	пальметто
palmist	хиромант
palmistry	хиромантия
palmitic	пальмитиновый
palmtop	'карманный' компьютер (небольшой компьютер , умещающийся в руке)
palmy	пальмовый
palmyra	пальма пальмирская
palomino	пегая лошадь с белой гривой
palp	щупальце
palpability	осязаемость
palpable	осязаемый
palpal	осязательный
palpate	ощупывать
palpation	ощупывание
palpitate	сильно биться
palpitating	животрепещущий
palpitation	сильное сердцебиение
palsgrave	пфальцграф
palstave	пальстаб (вид бронзового топора)
palsy	паралич
palter	кривить душой
paltry	пустяковый
paludal	болотный
paly	бледный
Pamirs	Памир
pampas	пампасы plain
pampas-grass	трава пампасная
pamper	баловать
pampero	памперо (холодный ветер , дующий в пампасах)
pamphlet	брошюра
pamphleteer	памфлетист
pan	Pan Пан
Pan-American	пан-американский
pan-pipe	свирель
panacea	панацея
panache	плюмаж
panada	хлебный пудинг
Panama	панама (шляпа) (тж. Panama hat)
Panamanian	панамский
pancake	блин
panchromatic	панхроматический	
pancratium	состязание по борьбе и боксу
pancreas	поджелудочная железа
pancreatic	относящийся к поджелудочной железе
panda	панда
pandect	обыкн. Юстиниановы пандекты
pandemic	пандемия
pandemonium	обиталище демонов
pander	сводник
pandowdy	яблочный пудинг или пирог
panegyric	панегирик
panegyrical	хвалебный
panegyrist	панегирист
panegyrize	восхвалять
panel	панель
panelled	обшитый панелями
panelling	панельная обшивка
panful	полная кастрюля и пр. {см. pan II 1
pang	внезапная острая боль
pangolin	ящер
panhandle	ручка кастрюли
panhandler	нищий
panhandling	попрошайничество
panic	паника
panic-monger	паникер
panic-stricken	охваченный паникой
panicky	панический
panicle	метелка
paniculate	метельчатый
panjandrum	важная персона
panmixia	беспорядочное скрещивание
pannage	право выпаса свиней в лесу
panne	панбархат
pannier	корзина (особ. на вьючном животном)
pannikin	жестяная кружка
panoplied	во всеоружии
panoply	доспехи
panopticon	паноптикум	
panorama	панорама	
panoramic	панорамный	
